Species,groups_new,groups_old,functional_name,Diet,TrophicLevel,MaxSizeTL,ReefPosition,FeedingType,Solitary,Schooling,Shoaling,Cluster,PC1,PC2
Ablennes hians,group4,group4,GenPred_schooling,Piscivoro,4.2,45,reef-associated,hunting macrofauna (predator),0,1,0,3,-1.6503750079059112,0.3361446744331531
Abudefduf declivifrons,group2,group1,EpiBent_schooling,Herbivoro,3,25,reef-associated,variable,0,0,1,7,3.4231168015351434,0.6778081142184971
Abudefduf troschelii,group1,group1,Plank,Zooplanctivoro,3,40,reef-associated,variable,0,0,1,4,3.3224551856474926,3.296847555130921
Acanthurus nigricans,group2,group2,EpiBent_schooling,Herbivoro,2,50,reef-associated,browsing on substrate,0,1,0,7,2.226000341738133,-1.228110451785547
Acanthurus triostegus,group2,group2,EpiBent_schooling,Herbivoro,2.8,35,reef-associated,grazing on aquatic plants,0,1,0,2,2.6128036335704476,-1.8479570446796105
Acanthurus xanthopterus,group2,group2,EpiBent_schooling,Herbivoro,2.4,75,reef-associated,grazing on aquatic plants,0,1,0,2,2.5061005529307336,-2.110871767635381
Aluterus scriptus,group3,group3,Crip_solitary,Carnivoro,2.8,60,reef-associated,variable,1,0,0,6,1.4179012671002063,-0.9650312562454184
Anisotremus interruptus,group4,group4,Crip_schooling,Carnivoro,3.5,80,reef-associated,hunting macrofauna (predator),0,1,0,3,-0.6347528330017308,-0.10708677991172899
Anisotremus taeniatus,group4,group6,Crip_schooling,Carnivoro,4.2,45,demersal,hunting macrofauna (predator),0,1,0,1,-1.757739411028079,0.6121544002259491
Apogon dovii,group1,group1,Plank,Zooplanctivoro,3.4,40,reef-associated,selective plankton feeding,0,0,1,4,3.0711223110485677,5.188526475029892
Apogon pacificus,group1,group1,Plank,Zooplanctivoro,3.4,35,reef-associated,selective plankton feeding,0,0,1,4,3.1146063739254304,5.204270655786378
Apogon retrosella,group1,group1,Plank,Zooplanctivoro,3.4,25,reef-associated,selective plankton feeding,0,0,1,4,3.2015744996791553,5.23575901729935
Arothron hispidus,group3,group3,Crip_solitary,Carnivoro,3.2,45,reef-associated,variable,1,0,0,6,1.3071840333556082,-0.7808374370720783
Arothron meleagris,group3,group3,Crip_solitary,Carnivoro,3.06,45,reef-associated,variable,1,0,0,6,1.3915933311869229,-0.8287738839884369
